order_id,user_id,order_date,product_id,category,price,quantity,discount,payment_method,delivery_status,country,device,total
e3e70682-c209-4cac-a29f-6fbed82c07cd,e5a1bdae-a747-495e-b0c9-52af9db31510,2023-06-22,47905535,Books,1498.00,4,16%,Credit Card,Cancelled,Germany,Mobile,5033.28
f728b4fa-4248-4e3a-8a5d-2f346baa9455,ca6ef7ce-74db-49f3-92a3-3c33037e5725,2023-02-17,3738306,Toys,6723.00,3,7%,COD,Cancelled,UK,Tablet,18757.17
eb1167b3-67a9-4378-bc65-c1e582e2e662,b1e186d7-df25-4e5d-befa-9c478dd6650f,2023-04-28,23771949,Home,6570.00,1,7%,Credit Card,Delivered,Germany,Desktop,6110.1
f7c1bd87-4da5-4709-9471-3d60c8a70639,dba45b5e-1498-465b-b9fe-0a1b7efbe877,2023-07-12,46541918,Clothing,6625.00,3,8%,PayPal,Pending,Germany,Desktop,18285
e443df78-9558-467f-9ba9-1faf7a024204,66e51767-dcb3-4e4a-891d-fa7b0d3dc6aa,2023-11-20,75991326,Home,1570.00,2,11%,Bank Transfer,Cancelled,Germany,Mobile,2794.6
23a7711a-8133-4876-b7eb-dcd9e87a1613,eceb9505-dbc3-4e56-88a1-7945ca6d3e06,2023-09-09,63074284,Home,8470.00,2,9%,Bank Transfer,Returned,Germany,Desktop,15415.4
1846d424-c17c-4279-a3c6-612f48268673,840fbb0b-a5e3-47af-871d-ade6432255ee,2023-07-15,52185519,Toys,3109.00,2,12%,PayPal,Pending,USA,Tablet,5471.84
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,1480f037-d39a-4bb0-962b-68d41880fa4b,2023-12-26,53348661,Clothing,8380.00,2,16%,Credit Card,Delivered,India,Mobile,14078.4
b4862b21-fb97-4435-8856-1712e8e5216a,19365f61-f484-478d-9bc9-e8895567a84c,2023-01-10,60271426,Home,2665.00,3,6%,PayPal,Delivered,India,Desktop,7515.3
259f4329-e6f4-490b-9a16-4106cf6a659e,277e5c18-0877-4fe6-b7d8-70b678ac8704,2023-07-31,83975295,Home,7777.00,1,8%,PayPal,Returned,USA,Tablet,7154.84
